date,code,imports,exports,name,total
2019-08,NB,1213709855.0,0.0,New Brunswick,1213709855.0
2019-08,NS,1136234049.0,0.0,Nova Scotia,1136234049.0
2019-08,SK,925889754.0,0.0,Saskatchewan,925889754.0
2019-08,NL,517612440.0,0.0,Newfoundland & Labrador,517612440.0
2019-08,NU,9632416.0,0.0,Nunavut,9632416.0
2019-08,YT,9003593.0,0.0,Yukon,9003593.0
2019-08,PE,1885285.0,0.0,Prince Edward Island,1885285.0
2019-09,ON,30094702793.0,0.0,Ontario,30094702793.0
2019-09,QC,7208718936.0,0.0,Quebec,7208718936.0
2019-09,BC,4914665009.0,0.0,British Columbia,4914665009.0
2019-09,AB,2389348160.0,0.0,Alberta,2389348160.0
2019-09,MB,1862962838.0,0.0,Manitoba,1862962838.0
2019-09,NB,1007136580.0,0.0,New Brunswick,1007136580.0
2019-09,SK,863550387.0,0.0,Saskatchewan,863550387.0
2019-09,NS,650787144.0,0.0,Nova Scotia,650787144.0
2019-09,NL,347976762.0,0.0,Newfoundland & Labrador,347976762.0
2019-09,YT,10749377.0,0.0,Yukon,10749377.0
2019-09,NU,6642043.0,0.0,Nunavut,6642043.0
2019-09,PE,589978.0,0.0,Prince Edward Island,589978.0
2019-09,NT,1058.0,0.0,Northwest Territories,1058.0
2019-10,ON,31712129049.0,0.0,Ontario,31712129049.0
2019-10,QC,7651137727.0,0.0,Quebec,7651137727.0
2019-10,BC,4982879146.0,0.0,British Columbia,4982879146.0
2019-10,AB,2362794005.0,0.0,Alberta,2362794005.0
2019-10,MB,1929659273.0,0.0,Manitoba,1929659273.0
2019-10,NB,1037438476.0,0.0,New Brunswick,1037438476.0
2019-10,NS,921730021.0,0.0,Nova Scotia,921730021.0
2019-10,SK,801308471.0,0.0,Saskatchewan,801308471.0
2019-10,NL,397075017.0,0.0,Newfoundland & Labrador,397075017.0
2019-10,PE,6871331.0,0.0,Prince Edward Island,6871331.0
2019-10,YT,4888111.0,0.0,Yukon,4888111.0
2019-11,ON,29861028015.0,0.0,Ontario,29861028015.0
2019-11,QC,6985143593.0,0.0,Quebec,6985143593.0
2019-11,BC,4277571055.0,0.0,British Columbia,4277571055.0
2019-11,AB,2285177300.0,0.0,Alberta,2285177300.0
2019-11,MB,1656647373.0,0.0,Manitoba,1656647373.0
2019-11,NB,1199569812.0,0.0,New Brunswick,1199569812.0
2019-11,NS,783326526.0,0.0,Nova Scotia,783326526.0
2019-11,SK,761956675.0,0.0,Saskatchewan,761956675.0
