partner,imports,exports,total
Kyrgyzstan,5378985,122788923,128167908
Faroe Islands,116208610,9569585,125778195
Zimbabwe,63955426,56414404,120369830
Sierra Leone,23526752,96359189,119885941
Saint Vincent and the Grenadines,1195195,117117731,118312926
Antigua and Barbuda,2701170,115077123,117778293
French Polynesia,11563275,103898061,115461336
"Virgin Islands, British",4178148,90470285,94648433
Rwanda,25515176,61565277,87080453
Brunei Darussalam,21953813,57799589,79753402
North Macedonia,53422673,23913413,77336086
Lesotho,72172756,1461231,73633987
Saint Kitts and Nevis,15903970,56971271,72875241
Turks and Caicos Islands,1675445,62932907,64608352
Montenegro,27596119,35441283,63037402
Yemen,3592049,55588570,59180619
Chad,889860,53593416,54483276
Dominica,4841249,48862554,53703803
Aruba,1627900,49984821,51612721
Malawi,10554448,40878232,51432680
Gibraltar,420106,48436572,48856678
Djibouti,3177069,43299747,46476816
Gambia,2315112,43930159,46245271
Timor-Leste,39633368,2176655,41810023
Sint Maarten (Dutch part),992414,40149736,41142150
Eswatini,19461854,19434898,38896752
Seychelles,9516293,26612338,36128631
Somalia,3740576,28928850,32669426
Guam,1526616,24499285,26025901
Burundi,9639621,14351408,23991029
Eritrea,895266,19047847,19943113
Tajikistan,3535550,16225125,19760675
Anguilla,3314900,15379017,18693917
Cabo Verde,2446875,13878369,16325244
American Samoa,5229082,10728752,15957834
Saint Martin (French part),10542,12517996,12528538
Comoros,3830764,8664486,12495250
Central African Republic,3332787,8172335,11505122
Montserrat,8406793,2078566,10485359
South Sudan,376665,9520951,9897616
Saint Barth�lemy,1591004,6653784,8244788
Nauru,7416110,747928,8164038
Antarctica,709844,6736311,7446155
Vanuatu,1106431,6301367,7407798
Christmas Island,2359173,4209600,6568773
Andorra,3008343,3543600,6551943
Falkland Islands (Malvinas),4253063,1623809,5876872
Tonga,1599088,3943962,5543050
Kiribati,3685761,1556563,5242324
Samoa,2050552,2316081,4366633
Solomon Islands,1453907,2621008,4074915
Bhutan,1679043,2191924,3870967
Pitcairn,1672348,1809377,3481725
Cocos (Keeling) Islands,1507299,1319526,2826825
Guinea-Bissau,259554,2408585,2668139
Sao Tome and Principe,1297754,1269676,2567430
"Saint Helena, Ascension and Tristan da Cunha",1406493,917599,2324092
Cook Islands,594490,1426717,2021207
Wallis and Futuna,103878,1571892,1675770
Norfolk Island,737241,916587,1653828
Niue,1389315,211289,1600604
British Indian Ocean Territory,731168,794837,1526005
French Southern Territories,71758,842255,914013
Heard Island and McDonald Islands,206553,457699,664252
"Korea, North",0,449183,449183
Bouvet Island,118350,273243,391593
Western Sahara,132795,109163,241958
