date,partner,imports,exports,total
2019-08,China,6456887260,1879975795,8336863055
2019-08,Mexico,2976900615,651213548,3628114163
2019-08,Japan,1329227537,1104314672,2433542209
2019-08,Germany,1719330525,542283292,2261613817
2019-08,United Kingdom,696551927,1496763884,2193315811
2019-08,"Korea, South",807281699,420805737,1228087436
2019-08,Italy,881316967,191302736,1072619703
2019-08,France,718228911,306814137,1025043048
2019-08,Netherlands,375946962,556895864,932842826
2019-08,India,403765139,401508139,805273278
2019-08,Belgium,461859059,269359689,731218748
2019-08,Viet Nam,629455343,46860176,676315519
2019-08,Taiwan,499140892,156136371,655277263
2019-08,Brazil,480846330,159886834,640733164
2019-08,Switzerland,463961483,160255332,624216815
2019-08,Peru,357972219,55049338,413021557
2019-08,Thailand,303376067,92154476,395530543
2019-08,Spain,282291399,111452037,393743436
2019-08,Australia,208481511,176439620,384921131
2019-09,United States of America,25187505575,37467926733,62655432308
2019-09,China,6722099860,1927427274,8649527134
2019-09,Mexico,3017042316,601817394,3618859710
2019-09,United Kingdom,763121408,1801076154,2564197562
2019-09,Japan,1286440223,1076149694,2362589917
2019-09,Germany,1520259630,578821646,2099081276
2019-09,"Korea, South",792035511,457626934,1249662445
2019-09,France,634964339,287910740,922875079
2019-09,Italy,634338815,235650029,869988844
2019-09,Netherlands,407451383,354056686,761508069
2019-09,India,408626563,298702429,707328992
2019-09,Viet Nam,583294117,81283216,664577333
2019-09,Brazil,505823412,137939081,643762493
2019-09,Taiwan,455924520,159364769,615289289
2019-09,Switzerland,397442647,111258438,508701085
2019-09,Spain,296073447,118861967,414935414
2019-09,Belgium,217106031,196238190,413344221
2019-09,Thailand,303402690,68472935,371875625
2019-09,Peru,310057054,43172217,353229271
2019-09,Australia,132288833,175491142,307779975
2019-10,United States of America,26043468648,39044346378,65087815026
2019-10,China,6749001488,1697135316,8446136804
2019-10,Mexico,3173350175,570195293,3743545468
2019-10,United Kingdom,790577074,1839677983,2630255057
2019-10,Japan,1355359954,1024479156,2379839110
2019-10,Germany,1691902020,565168535,2257070555
2019-10,"Korea, South",706577047,507493707,1214070754
